Commit SHA,Commit message
f079291355f1d57253e06fe06778eacc72275ff3,"Merge pull request #281 from Mosrod/patch-2

Fixed Organize.py for Python3"
bf9380f7dad18885df6eb131b98fae511be6a1b6,"Merge pull request #280 from RabiNathJha/master

adds to batch_file_rename.py"
6d91f3b0c44925de1218a11b81b52e3552727c51,"Merge pull request #279 from DemetriosBairaktaris/master

Add option to use command line arguments to script"
60a1955fc04dd5fdff8ca3504cbf535ef565161c,"Fixed for Python3

Added missing parenthesis for Python 3 and changed raw_input to input"
84411cca1bc4da6cce6c3a376135f51f564ebd4a,adds to batch_file_rename.py
9dd8257c6914a217297a6fd3167b4230da8b7719,added option to use command line arguments to script
efcec4c4adafda950984f1b95460a9db1bd5a623,"Python Assembler interpreter

I added a assembler (intel-syntax) interpreter written in python 2."
de4e509f84f50d69d0e0c66a4c1e0151d662f5cf,"Merge pull request #270 from christianbender/master

Fix Bug and refactoring"
ed59a84ed9eec960200d57543063f4ce3daa11a1,"fix a bug

I fixed a bug ""index out of range""
and do some beautification."
2169465fd7851309207bde3c5953c1e2537c3e94,"Add a lib and do some beautification

check_input.py
  some improvements and documented.

calculator.py
 some improvements and documented

I add my python lib called primelib. This python library contains some useful functions to deal with
prime numbers and whole numbers."
a291a50f4046e458546889b67fc916a756867e31,"Merge pull request #267 from mcostigliola/master

Added check if file present"
55f5f6f45f81ffa95eea96ed9e066d62556dc1fa,"Added check if file present

If the file is present it continues in the execution of the program, otherwise it manages an exception and asks to try again"
28b5151550f0fcae7f48fe5a55df4a44ba8b0161,"Merge pull request #264 from pandyamarut/add_m

Add m"
b6d7384916b4a1864459033891255fb480e37312,"Merge pull request #266 from the-vishal/master

Adding files"
a9185206a0f4f4f220612c2ad9871c62c497f7f0,added seperate link for sports
f66c3992bb2dd861faa6de13890f45fead2cc1a4,added the sepetate link for sports section
04ea30cfb281f93f64f1697a3c45c3b0a5c950d6,"Update diceV2_dynamic.py

Just a quick add of comments I forgot the first time."
53c8693ca285c809639f0beb0136f0071616a1bc,"Merge pull request #258 from anuragkumarak95/master

Added knuth-morris-pratt pattern in a String search algo."
2d846e759a7ed6e480e5d67f734b52716677d7c5,"added prime number finding algo, using Sieve_of_Eratosthenes theory."
ca3de6545d5da1268bfb223b242a6c9300c6b926,added knuth-morris-pratt pattern in a string search module.
2e4b7a5cdcee56636cd47c19ea8cfaf83a2791a3,"Merge pull request #253 from Colcothar/patch-1

Added ;"
aed5aba8265642e4f2b38d8a71b3655f19cee913,"Merge pull request #254 from anuragkumarak95/master

Added Chickens and Rabbits(Ancient Chinese Puzzle) Question."
d7c945f3493a16c970cdf3a46dcd37ec2e80c192,"Merge pull request #256 from ishitbatra/patch-1

blank spaces added"
5cb53937f87985bd9b1ed7ca7dbe3109bcbe7256,"blank spaces added

blank space added"
cf8a21bfd37f157e2ec075799c2c548628623102,added Chickens and Rabbits(Ancient Chinese Puzzle) Question.
dac12ba497eb8ede62dae41456f9f0ca94bd5ebf,"Added ;

Added ; in place of ,"
8113b9ad7e62dc6edf5a802efe4b599f2a18cf27,"added two_num.py, [ques]Sum of 2 numbers being a given target."
01408a71b365e61f13fe743cca3975aab0dd08e7,"Update Print_List_of_Even_Numbers.py

Added support for python 2."
0099acaa04339427cf6b19dce84500bf9a9af2c6,"updated wiki_random.py, added module doc and few exception handing."
7e641f48c5a4d2513ce984aec24979bb9437646a,"added wiki_random.py, use for generating 10 random WIKI pages,
and open a page according to request."
b707a97ecb45d89537c90d8328224b91dfc6761a,"updated magic8ball.py, module doc added."
4aa70af59b53368fdf08d69c90ecfece02aa1af8,added magic8ball game. simple random pickup algorithm.
f4275902ddb93453a98108bdc05049e225e18a63,"Merge pull request #245 from NaeemSheikh/patch-1

minor fix to function oneLineCombinations()"
4605cb4169da148d0541c2751a403a2cb3439007,"moved GOL to new dir, added sample.gif output of the code."
1fe34028b8ecc689d7d9728f6d13e5a1ae223061,added plotting of the canvas
516e778fa0c30c75990096d7bf33ae4d6a75bbe5,added Game of Life module
4ffa02e63ba2ccab8b1e9e1fb9808133a843c52e,"minor fix to function oneLineCombinations()

I ran the second function and it only cycled from 0000 to 0999 as the range in the program is range(1000).
Doesn't really need fixing, as people will understand that the range in the code needs an extra 0, but I would like to submit this change of range to range(10000) just for the sake of completion."
f079291355f1d57253e06fe06778eacc72275ff3,"Merge pull request #281 from Mosrod/patch-2

Fixed Organize.py for Python3"
bf9380f7dad18885df6eb131b98fae511be6a1b6,"Merge pull request #280 from RabiNathJha/master

adds to batch_file_rename.py"
6d91f3b0c44925de1218a11b81b52e3552727c51,"Merge pull request #279 from DemetriosBairaktaris/master

Add option to use command line arguments to script"
60a1955fc04dd5fdff8ca3504cbf535ef565161c,"Fixed for Python3

Added missing parenthesis for Python 3 and changed raw_input to input"
84411cca1bc4da6cce6c3a376135f51f564ebd4a,adds to batch_file_rename.py
9dd8257c6914a217297a6fd3167b4230da8b7719,added option to use command line arguments to script
