Commit SHA,Commit message
5c080afd1eda3d631f24b96750d3ec9c794144ee,"K-FAC: Fixes problem where initial eigendecomposition used by RNN classes would be computed during the call to instantiate_factors (via the ""registration""  functions) instead of the call to make_inverse_update_ops.  This messed up the device placement of these ops and interacted badly with other parts of the code.

Also changed how covariance op creation is done in ConvDiagonalFactor in anticipation of similar problems in the future.

As of this CL, none of the op creation methods will modify the state of the class, and no ops will be created outside of the op creation methods.  We should try to follow this convention going forward.

PiperOrigin-RevId: 182265266"
aabe9698daf5004ec90f04e2da5b71b51b010b6d,"[XLA:GPU] Fix a problem in calculating the address of the memory used to
implement small data type atomic operations.

To calculate the address of the enclosing 4 byte memory,
output_address&(-2) was used while it should be output_address&(-4).

Add a test case.

PiperOrigin-RevId: 182251760"
fbddebee0bf07dadfb2b15ec678291dd5730ca99,"Fixing deprecated URL link (#16195)

* Fixing deprecated URL link"
103edb8cc4f3b6e40949ffba5d0c95426ba0509c,"Merge pull request #16191 from qmick/qmick-patch-1

Fix docstring typo of losses_impl.py"
1d396f0fa7f59a5facb5fe05156cd9efea50e1a0,Fix docstring typo of losses_impl.py
1f86611d8d700e439c3b5b6c05779cf724912ec4,fix concat issue related to negative input concat_dim (#16081)
c496f53af0cf4bba27b30ae7bc8886171fed867a,"MKL-DNN:  fix batchnorm unit test failures (#16090)

* fix batchnorm unit test failures

* code refactoring per PR review suggestions; unit test passed; style check done"
ae700bb7462ee1bd4fed3c89441e962f64c89afd,"Fixes for various MKLDNN unit test failures (#16059)

1. MklLayout pass changes

   Making workspace type uint8 for MaxPool; Handling duplicate control edge insertion

   1) Handles case of inserting duplicate control edge (fixing Mkl layout graph
   pass unit test)
   2) Enables uint8 as workspace tensor type (makes consistent with LRN workspace
   handling)

   Workspace tensor type change is also performed in MaxPool and MaxPoolGrad
   operators.

2. Handling MklReshape failing case

   MklReshape was failing on a unit test when Mkl layout and Tensorflow layout for
   input tensors were same, but shape of input tensor and output tensor was
   different. No reorder is required in such case, but reshape is needed. Before
   this fix, we were asserting that reorder is performed.

3. Adding support for empty input/filter tensors in Convolution backprop operators"
fa0dd4436f88425639fcd589ce3261249c6499be,Fixes tensor shape when Eigen path is taken. (#16020)
551e2fd3c57b17af32078e61fdd13c15b9d70f97,Fix for compilation error (#15975)
3f57956725b553d196974c9ad31badeb3eabf8bb,Update rules_closure to fix bazel version check (#16157)
44d667dba7e2f2d111d7a0355fb4b58702162991,"[TF:XLA] Remove workaround for b/37575001.

The lowering bug has been long fixed, so the workaround of constructing R3s is no longer required.

PiperOrigin-RevId: 182150664"
786dcb0b3ee719ae44ac23ea6ee878bbb04792cd,"Disable exceptions in TensorFlow jsoncpp build

This is necessary to compile with Clang. Since the TF GCP code doesn't have any
try/catch statements, this could be a bug fix.

PiperOrigin-RevId: 182143536"
a830a01d4e688c43433bad20cf5bf682ff125464,"FIX Typo (#16141)

* fix typo"
d875e082819d0f97b01a3efa44328f73c8fd0700,"Fix flakiness of dataset_constructor_op_test and flat_map_dataset_op_test due to
timeouts.

PiperOrigin-RevId: 182131168"
c9096fd166a9d7fdb62c6cb747a74edb73630b0c,"[TF] Fix XLA Control Flow gradient stacks max_size creation.

Stack creation uses tf.while_loop's maximum_iterations iff the while_loop
was created inside an XLA/TPU context.  Added several error checks to ensure
this provides useful error messages if the limited use case is not supported.

PiperOrigin-RevId: 182128135"
82aa53ec3664f5bbd48fa498901d16ef151164ff,"Adjust setup to fix Tensorboard entrypoint (run_main -> main).

PiperOrigin-RevId: 182119760"
affd9c345affef2c349516d3bf4b20448cb36f8d,"Check for existence of attrs when making a `TFDecorator`.

Fixes a bug that arose when the supplied target to `make_decorator` was
a callable that did not have a `__name__` member.

PiperOrigin-RevId: 182119694"
0830ceefcdbd2e5f57e676f72a4abaf8d351bc28,"Improves the eager compatibility with tf.contrib.lookup.

Fixes #16160

PiperOrigin-RevId: 182098964"
6e259f0a716c124b16c9a2aaddd3ee6c9edc5db9,"Fixes nccl_ops_test error introduced in CL 181736230.

PiperOrigin-RevId: 182039394"
6cbf156e72ae73415603b06d11ed981295835f65,"Avoid unloading kernels that haven't been loaded and fix replay_computation to
destroy the local client instance.

Add a user defined move constructor for KernelBase to nullify the parent stream
pointer. This is needed to avoid unloading kernels that haven't been loaded
when the moved-from KernelBase objects are destructed.

Add a call to ClientLibrary::DestroyLocalInstances to destroy the local client
instance used by replay_computation.

PiperOrigin-RevId: 181995818"
bdb1a5ee6ca8d343a7a03614fb8fbfb653e848cc,"FIxes non-gpu build of gpu target.

PiperOrigin-RevId: 181976155"
619792fae2fbbf4ea01a0956b255a1e9caca05ca,"Fix potential use-after-free bugs in the worker with DeleteWorkerSession.

Previously, DeleteWorkerSession was responsible for freeing the
WorkerSession owned by the SessionMgr. However, it is possible for
other requests to be in-flight on the same session, and requests from
the master to be delivered out of order, which leads to the potential
for a request to use a WorkerSession after it has been freed. Revise
the SessionMgr interface to handle std::shared_ptr<WorkerSession>
instead of raw pointers to avoid this risk.

PiperOrigin-RevId: 181975078"
07e497b0ad3f0e102e167a50de2b543a4a238fde,"Merge pull request #16130 from ejjeong/master

Fix broken python3 build"
5a810ea2b3ff056a8d7dc5eef19c8193ffc0f8f6,"fix comments and code matches (#16071)

* there are two commas lost in the construction of SparseTensor"
85434931af1c14c966022aa90587524ed3d8bd6a,Fix broken python3 build
84a70f5906c9537a2df1ad948dbae4e9f55c51b3,fix typo (#16122)
5c080afd1eda3d631f24b96750d3ec9c794144ee,"K-FAC: Fixes problem where initial eigendecomposition used by RNN classes would be computed during the call to instantiate_factors (via the ""registration""  functions) instead of the call to make_inverse_update_ops.  This messed up the device placement of these ops and interacted badly with other parts of the code.

Also changed how covariance op creation is done in ConvDiagonalFactor in anticipation of similar problems in the future.

As of this CL, none of the op creation methods will modify the state of the class, and no ops will be created outside of the op creation methods.  We should try to follow this convention going forward.

PiperOrigin-RevId: 182265266"
