Commit SHA,Commit message
5c080afd1eda3d631f24b96750d3ec9c794144ee,"'K-FAC: Fixes problem where initial eigendecomposition used by RNN classes would be computed during the call to instantiate_factors (via the ""registration""  functions) instead of the call to make_inverse_update_ops.  This messed up the device placement of these ops and interacted badly with other parts of the code.\n\nAlso changed how covariance op creation is done in ConvDiagonalFactor in anticipation of similar problems in the future.\n\nAs of this CL, none of the op creation methods will modify the state of the class, and no ops will be created outside of the op creation methods.  We should try to follow this convention going forward.\n\nPiperOrigin-RevId: 182265266'"
aabe9698daf5004ec90f04e2da5b71b51b010b6d,"'[XLA:GPU] Fix a problem in calculating the address of the memory used to\nimplement small data type atomic operations.\n\nTo calculate the address of the enclosing 4 byte memory,\noutput_address&(-2) was used while it should be output_address&(-4).\n\nAdd a test case.\n\nPiperOrigin-RevId: 182251760'"
fbddebee0bf07dadfb2b15ec678291dd5730ca99,'Fixing deprecated URL link (#16195)\n\n* Fixing deprecated URL link'
103edb8cc4f3b6e40949ffba5d0c95426ba0509c,'Merge pull request #16191 from qmick/qmick-patch-1\n\nFix docstring typo of losses_impl.py'
1d396f0fa7f59a5facb5fe05156cd9efea50e1a0,'Fix docstring typo of losses_impl.py'
1f86611d8d700e439c3b5b6c05779cf724912ec4,'fix concat issue related to negative input concat_dim (#16081)'
c496f53af0cf4bba27b30ae7bc8886171fed867a,'MKL-DNN:  fix batchnorm unit test failures (#16090)\n\n* fix batchnorm unit test failures\r\n\r\n* code refactoring per PR review suggestions; unit test passed; style check done'
ae700bb7462ee1bd4fed3c89441e962f64c89afd,"'Fixes for various MKLDNN unit test failures (#16059)\n\n1. MklLayout pass changes\r\n\r\n   Making workspace type uint8 for MaxPool; Handling duplicate control edge insertion\r\n\r\n   1) Handles case of inserting duplicate control edge (fixing Mkl layout graph\r\n   pass unit test)\r\n   2) Enables uint8 as workspace tensor type (makes consistent with LRN workspace\r\n   handling)\r\n\r\n   Workspace tensor type change is also performed in MaxPool and MaxPoolGrad\r\n   operators.\r\n\r\n2. Handling MklReshape failing case\r\n\r\n   MklReshape was failing on a unit test when Mkl layout and Tensorflow layout for\r\n   input tensors were same, but shape of input tensor and output tensor was\r\n   different. No reorder is required in such case, but reshape is needed. Before\r\n   this fix, we were asserting that reorder is performed.\r\n\r\n3. Adding support for empty input/filter tensors in Convolution backprop operators'"
fa0dd4436f88425639fcd589ce3261249c6499be,'Fixes tensor shape when Eigen path is taken. (#16020)'
551e2fd3c57b17af32078e61fdd13c15b9d70f97,'Fix for compilation error (#15975)'
3f57956725b553d196974c9ad31badeb3eabf8bb,'Update rules_closure to fix bazel version check (#16157)'
44d667dba7e2f2d111d7a0355fb4b58702162991,"'[TF:XLA] Remove workaround for b/37575001.\n\nThe lowering bug has been long fixed, so the workaround of constructing R3s is no longer required.\n\nPiperOrigin-RevId: 182150664'"
786dcb0b3ee719ae44ac23ea6ee878bbb04792cd,"""Disable exceptions in TensorFlow jsoncpp build\n\nThis is necessary to compile with Clang. Since the TF GCP code doesn't have any\ntry/catch statements, this could be a bug fix.\n\nPiperOrigin-RevId: 182143536"""
a830a01d4e688c43433bad20cf5bf682ff125464,'FIX Typo (#16141)\n\n* fix typo'
d875e082819d0f97b01a3efa44328f73c8fd0700,'Fix flakiness of dataset_constructor_op_test and flat_map_dataset_op_test due to\ntimeouts.\n\nPiperOrigin-RevId: 182131168'
c9096fd166a9d7fdb62c6cb747a74edb73630b0c,"""[TF] Fix XLA Control Flow gradient stacks max_size creation.\n\nStack creation uses tf.while_loop's maximum_iterations iff the while_loop\nwas created inside an XLA/TPU context.  Added several error checks to ensure\nthis provides useful error messages if the limited use case is not supported.\n\nPiperOrigin-RevId: 182128135"""
82aa53ec3664f5bbd48fa498901d16ef151164ff,'Adjust setup to fix Tensorboard entrypoint (run_main -> main).\n\nPiperOrigin-RevId: 182119760'
affd9c345affef2c349516d3bf4b20448cb36f8d,'Check for existence of attrs when making a `TFDecorator`.\n\nFixes a bug that arose when the supplied target to `make_decorator` was\na callable that did not have a `__name__` member.\n\nPiperOrigin-RevId: 182119694'
0830ceefcdbd2e5f57e676f72a4abaf8d351bc28,'Improves the eager compatibility with tf.contrib.lookup.\n\nFixes #16160\n\nPiperOrigin-RevId: 182098964'
6e259f0a716c124b16c9a2aaddd3ee6c9edc5db9,'Fixes nccl_ops_test error introduced in CL 181736230.\n\nPiperOrigin-RevId: 182039394'
6cbf156e72ae73415603b06d11ed981295835f65,"""Avoid unloading kernels that haven't been loaded and fix replay_computation to\ndestroy the local client instance.\n\nAdd a user defined move constructor for KernelBase to nullify the parent stream\npointer. This is needed to avoid unloading kernels that haven't been loaded\nwhen the moved-from KernelBase objects are destructed.\n\nAdd a call to ClientLibrary::DestroyLocalInstances to destroy the local client\ninstance used by replay_computation.\n\nPiperOrigin-RevId: 181995818"""
bdb1a5ee6ca8d343a7a03614fb8fbfb653e848cc,'FIxes non-gpu build of gpu target.\n\nPiperOrigin-RevId: 181976155'
619792fae2fbbf4ea01a0956b255a1e9caca05ca,"'Fix potential use-after-free bugs in the worker with DeleteWorkerSession.\n\nPreviously, DeleteWorkerSession was responsible for freeing the\nWorkerSession owned by the SessionMgr. However, it is possible for\nother requests to be in-flight on the same session, and requests from\nthe master to be delivered out of order, which leads to the potential\nfor a request to use a WorkerSession after it has been freed. Revise\nthe SessionMgr interface to handle std::shared_ptr<WorkerSession>\ninstead of raw pointers to avoid this risk.\n\nPiperOrigin-RevId: 181975078'"
07e497b0ad3f0e102e167a50de2b543a4a238fde,'Merge pull request #16130 from ejjeong/master\n\nFix broken python3 build'
5a810ea2b3ff056a8d7dc5eef19c8193ffc0f8f6,'fix comments and code matches (#16071)\n\n* there are two commas lost in the construction of SparseTensor'
85434931af1c14c966022aa90587524ed3d8bd6a,'Fix broken python3 build'
84a70f5906c9537a2df1ad948dbae4e9f55c51b3,'fix typo (#16122)'
5c080afd1eda3d631f24b96750d3ec9c794144ee,"'K-FAC: Fixes problem where initial eigendecomposition used by RNN classes would be computed during the call to instantiate_factors (via the ""registration""  functions) instead of the call to make_inverse_update_ops.  This messed up the device placement of these ops and interacted badly with other parts of the code.\n\nAlso changed how covariance op creation is done in ConvDiagonalFactor in anticipation of similar problems in the future.\n\nAs of this CL, none of the op creation methods will modify the state of the class, and no ops will be created outside of the op creation methods.  We should try to follow this convention going forward.\n\nPiperOrigin-RevId: 182265266'"
aabe9698daf5004ec90f04e2da5b71b51b010b6d,"'[XLA:GPU] Fix a problem in calculating the address of the memory used to\nimplement small data type atomic operations.\n\nTo calculate the address of the enclosing 4 byte memory,\noutput_address&(-2) was used while it should be output_address&(-4).\n\nAdd a test case.\n\nPiperOrigin-RevId: 182251760'"
fbddebee0bf07dadfb2b15ec678291dd5730ca99,'Fixing deprecated URL link (#16195)\n\n* Fixing deprecated URL link'
103edb8cc4f3b6e40949ffba5d0c95426ba0509c,'Merge pull request #16191 from qmick/qmick-patch-1\n\nFix docstring typo of losses_impl.py'
1d396f0fa7f59a5facb5fe05156cd9efea50e1a0,'Fix docstring typo of losses_impl.py'
1f86611d8d700e439c3b5b6c05779cf724912ec4,'fix concat issue related to negative input concat_dim (#16081)'
c496f53af0cf4bba27b30ae7bc8886171fed867a,'MKL-DNN:  fix batchnorm unit test failures (#16090)\n\n* fix batchnorm unit test failures\r\n\r\n* code refactoring per PR review suggestions; unit test passed; style check done'
